Sabine
Susanne
Petra
Monika
Claudia
Birgit
Andrea
Stefanie
Stephanie
Karin
Katrin
Kathrin
Cathrin
Julia
Anna
Nicole
Anja
Gabriele
Angelika
Martina
Brigitte
Heike
Sandra
Renate
Barbara
Christina
Katharina
Christine
Kerstin
Ursula
Maria
Ute
Sarah
Sara
Marion
Sylvia
Melanie
Ulrike
Bettina
Jutta
Silke
Tanja
Christiane
Elke
Nadine
Ingrid
Daniela
Angela
Jennifer
Anke
Cornelia
Nina
Sonja
Katja
Regina
Britta
Eva
Annika
Beate
Jessica
Manuela
Gisela
Anne
Lisa
Maike
Meike
Alexandra
Annette
Bärbel
Kirsten
Laura
Astrid
Dagmar
Helga
Franziska
Carolin
Caroline
Jasmin
Yasmin
Jana
Ivonne
Yvonne
Doris
Christa
Michaela
Sabrina
Lena
Maren
Elisabeth
Vanessa
Simone
Marie
Antje
Hannelore
Johanna
Johannah
Sigrid
Siegrid
Hannah
Hanna
Svenja
Marlies
Bianca
Rita
Gudrun
Janina
Marina
Marianne
Natalie
Nathalie
Heidi
Jacqueline
Jaqueline
Iris
Christel
Corinna
Carmen
Erika
Erica
Isabel
Isabelle
Janin
Janine
Lea
Ann
Miriam
Tatjana
Wiebke
Christin
Ilona
Carola
Karola
Kim
Verena
Ines
Olga
Elena
Saskia
Patricia
Patrizia
Annegret
Michelle
Karen
Caren
Evelyn
Evelin
Ina
Carina
Karina
Rosemarie
Alina
Inge
Gabriela
Sibylle
Sybille
Diana
Lydia
Sophie
Sofie
Vera
Denise
Irene
Rebecca
Rebekka
Birte
Inga
Mareike
Ruth
Frauke
Roswita
Uta
Irina
Tina
Antonia
Waltraud
Margret
Lara
Juliane
Luisa
Louisa
Mandy
Linda
Ingeborg
Heidemarie
Victoria
Viktoria
Nele
Neele
Judith
Nadja
Sina
Sinah
Eileen
Aileen
Jenny
Dorothea
Dörthe
Veronica
Veronika
Heidrun
Leonie
Theresa
Pia
Anita
Margrit
Friederike
Sophia
Sofia
Marita
Gabi
Gaby
Susann
Larissa
Vivien
Vivienne
Jeanette
Charlotte
Natascha
Ramona
Lina
Melina
Ilka
Ellen
Josephine
Josefine
Nicola
Merle
Edith
Natalia
Esther
Maja
Maya
Margarethe
Valentina
Regine
Hildegard
Margit
Clara
Klara
Swetlana
Fatma
Paula
Ilse
Nora
Annett
Irmgard
Susan
Helena
Viola
Gerda
Annemarie
Celina
Imke
Marlene
Magdalena
Carla
Doreen
Konstanze
Constanze
Lilli
Lilly
Gina
Gitta
Kirstin
Tamara
Kira
Martha
Marta
Ayse
Ronja
Celine
Beatrice
Kimberley
Melissa
Elvira
Agnes
Emma
Anneliese
Dorothee
Margot
Mona
Edeltraut
Gesa
Joanna
Ariane
Emily
Emilie
Gunda
Jule
Dana
Annelie
Rosa
Brigitta
Luise
Alice
Isabella
Hatice
Cindy
Danuta
Nancy
Swantje
Steffi
Cathleen
Gertrud
Gertrude
Ewa
Carolina
Liane
Annabelle
Annabell
Svea
Emine
Ludmilla
Monique
Paulina
Yasemin
Cordula
Linn
Lynn
Galina
Marleen
Ricarda
Angelina
Pauline
Milena
Amelie
Dorit
Helene
Ursel
Malgorzata
Almuth
Almut
Frederike
Alena
Henrike
Beatrix
Jolanta
Hella
Alicia
Helen
Elfriede
Grace
Joana
Greta
Chantal
Carlotta
Chloe
Maraike
Melinda
Hanako
Franka
Jun
Olivia
Samantha
Mercedes
Hermione
Undine
Aurelie
Rosalia
Mia
Xenia
Ella
Mina
Yukiyo
Yukiko
